orientation,omega_c,mu_zero,candidates,mass,mean_weight
c>q,1,True,807,0,0.0
c>q,2,False,18535,-18535,-1.0
c>q,2,True,13834,0,0.0
c>q,3,False,13437,13437,1.0
c>q,3,True,14797,0,0.0
c>q,4,False,3405,-3405,-1.0
c>q,4,True,3867,0,0.0
c>q,5,False,329,329,1.0
c>q,5,True,324,0,0.0
c>q,6,False,10,-10,-1.0
c>q,6,True,2,0,0.0
q>c,0,False,86,-86,-1.0
q>c,1,False,10096,10096,1.0
q>c,1,True,1422,0,0.0
q>c,2,False,19713,-19713,-1.0
q>c,2,True,13713,0,0.0
q>c,3,False,12695,12695,1.0
q>c,3,True,13488,0,0.0
q>c,4,False,3202,-3202,-1.0
q>c,4,True,3752,0,0.0
q>c,5,False,317,317,1.0
q>c,5,True,333,0,0.0
q>c,6,False,7,-7,-1.0
q>c,6,True,2,0,0.0
