section,group,T,lambda,max_shell,mean_shell,rms_delta,mean_delta,D_T,rms_D,corr,nonzero_frac,candidates,mass,squarefree,zero_mu,mean_weight
overall,all,100000.0,1.0,30.0,1.4817151828481716,0.9871627297955737,-0.08083919160808392,-8084.0,4740.725499808796,0.6121853027578388,0.5519444805551944,,,,,
orientation,q>c,,,,,,,,,,,78826.0,100.0,46116.0,32710.0,0.0012686169537969706
orientation,c>q,,,,,,,,,,,69347.0,-8184.0,35716.0,33631.0,-0.11801519892713455
parity,odd_odd,,,,,,,,,,,85085.0,-241.0,33499.0,51586.0,-0.0028324616559910675
parity,even_even,,,,,,,,,,,63088.0,-7843.0,48333.0,14755.0,-0.12431841237636318
qbin,0.00-0.25,,,,,,,,,,,109533.0,-7204.0,59098.0,50435.0,-0.06577287055134524
qbin,0.25-0.50,,,,,,,,,,,14325.0,-810.0,8410.0,5915.0,-0.05654450261780105
qbin,0.50-0.75,,,,,,,,,,,5131.0,-6.0,3152.0,1979.0,-0.0011693626973299552
qbin,0.75-1.00,,,,,,,,,,,19184.0,-64.0,7172.0,12012.0,-0.003336113427856547
orientation_qbin,q>c:0.00-0.25,,,,,,,,,,,57772.0,174.0,33922.0,23850.0,0.003011839301737176
orientation_qbin,q>c:0.25-0.50,,,,,,,,,,,6330.0,-38.0,3720.0,2610.0,-0.006003159557661927
orientation_qbin,q>c:0.50-0.75,,,,,,,,,,,5131.0,-6.0,3152.0,1979.0,-0.0011693626973299552
orientation_qbin,q>c:0.75-1.00,,,,,,,,,,,9593.0,-30.0,3600.0,5993.0,-0.003127280308558324
orientation_qbin,c>q:0.00-0.25,,,,,,,,,,,51761.0,-7378.0,25176.0,26585.0,-0.142538977994242
orientation_qbin,c>q:0.25-0.50,,,,,,,,,,,7995.0,-772.0,4690.0,3305.0,-0.0965603502188868
orientation_qbin,c>q:0.75-1.00,,,,,,,,,,,9591.0,-34.0,3572.0,6019.0,-0.0035449900948806173
