Lambda,T,total_shell_atoms,nonempty_shells,max_shell_size,rms_shell_size,rms_deltaD,max_abs_deltaD,D_T,rms_D,sum_D2,sum_D2_over_T3,corr_size_absdelta
0.5,100,66,46,3,1.0436038093506028,0.5450043146345697,2,-6,3.441160292461809,1196.0,0.001196,0.5784596948162274
0.5,200,137,86,4,1.1654222218680579,0.5773502691896257,2,-13,6.973653332079241,9775.0,0.001221875,0.6277521137548681
0.5,500,352,199,5,1.2636480472131268,0.647426966264695,4,-28,17.429756371952788,152202.0,0.001217616,0.6190452171841536
0.5,1000,717,386,8,1.326363735647488,0.704630042294179,4,-43,29.65625577333569,880373.0,0.000880373,0.6332039353041173
0.5,2000,1454,746,8,1.39428404064846,0.7458028486506821,7,-105,57.66773115349523,6654460.0,0.0008318075,0.6692975934611921
1.0,100,137,68,6,1.8958004657507062,0.8144730423001509,2,-13,7.015541446116488,4971.0,0.004971,0.5954974703565113
1.0,200,289,131,6,2.0576274798347596,0.8696084782663039,4,-28,14.483993567098175,42167.0,0.005270875,0.5386921858601975
1.0,500,717,318,9,2.127193009531669,0.9959999839678072,4,-43,29.68628385469957,441519.0,0.003532152,0.60027319317703
1.0,1000,1454,618,9,2.21113339468945,1.0544610528076,7,-105,57.72745050197992,3335791.0,0.003335791,0.6398712475280786
1.0,2000,2932,1203,10,2.297468350073664,1.0915146805476665,7,-240,131.65728494716944,34684615.0,0.004335576875,0.643916294022985
2.0,100,198,76,7,2.632620950556105,1.0,3,-29,14.495475565885657,21222.0,0.021222,0.5947135560813391
2.0,200,415,152,8,2.7867847341028793,1.2518642814237004,6,-45,28.336113413506176,161390.0,0.02017375,0.6489564176523872
2.0,500,1119,380,11,3.05929427109027,1.3733999945064002,7,-107,59.58589633391586,1778790.0,0.01423032,0.6686575008412207
2.0,1000,2327,747,12,3.2552117590724565,1.4504813352456845,8,-248,134.77814308020368,18183313.0,0.018183313,0.6669425319173363
2.0,2000,4778,1489,14,3.379391935699744,1.4149201392657291,8,-420,256.6633377900265,131818014.0,0.01647725175,0.6578800409875448
4.0,100,282,91,7,3.2911522554140262,1.4071950894605838,6,-18,8.202873198634201,6796.0,0.006796,0.4597746129503098
4.0,200,640,184,9,3.732338175823095,1.6360369541739836,6,-42,21.710098069998562,94737.0,0.011842125,0.5286148822209069
4.0,500,1793,474,11,4.206021726343677,1.8290186935177903,8,-164,82.33972515937467,3396695.0,0.02717356,0.5286030966519529
4.0,1000,3811,955,12,4.473811016905499,1.792703604555481,8,-301,178.37924723508576,31850975.0,0.031850975,0.504590011945017
4.0,2000,7998,1913,16,4.725762751472866,1.7959363313733665,8,-660,374.3711795931212,280447714.0,0.03505596425,0.4936785462853669
