R,K,P,final_T,abs_final_T_over_R,shallow_energy_growth_ratio,deep_steps,deep_contracting,deep_expanding,deep_contract_fraction,deep_energy_start,deep_energy_end,deep_energy_end_over_start,deep_wrong_sign_L1,deep_wrong_sign_L1_over_R,deep_right_sign_L1,deep_wrong_over_right_L1,max_deep_abs_delta,max_deep_abs_delta_over_R,deep_born_high_internal_cancel_fraction,deep_expansion_energy_over_contraction_energy
200,24,186,-86,0.43,2.475994809688581,33,30,2,0.9090909090909091,103041,7396,0.07177725371454081,4,0.02,239,0.016736401673640166,15,0.075,0,0.023342965965833087
300,26,283,-80,0.26666666666666666,3.5043116525473175,52,48,3,0.9230769230769231,600625,6400,0.010655567117585849,6,0.02,701,0.008559201141226819,84,0.28,0,0.011096817569850207
400,29,380,-166,0.415,4.813663684582392,65,65,0,1.0,1934881,27556,0.014241702719702142,0,0.0,1225,0.0,155,0.3875,0,0.0
500,30,478,-203,0.406,5.87367641689318,81,79,1,0.9753086419753086,5212089,41209,0.00790642677053289,5,0.01,2085,0.002398081534772182,240,0.48,0,0.0026972736995080873
600,30,576,-293,0.48833333333333334,7.242737828772553,95,95,0,1.0,12033961,85849,0.007133893819333468,0,0.0,3176,0.0,338,0.5633333333333334,0,0.0
800,31,772,-184,0.23,6.9196076178633215,125,125,0,1.0,32764176,33856,0.001033323713070031,0,0.0,5540,0.0,500,0.625,0,0.0
1000,31,969,15,0.015,7.939462144942936,152,150,2,0.9868421052631579,83448225,225,2.696282635130945e-06,14,0.014,9136,0.001532399299474606,683,0.683,0.7309614819170832,2.6842991889198264e-06
1200,32,1166,-473,0.39416666666666667,9.34596531550239,181,180,0,0.994475138121547,184824025,223729,0.001210497390693661,0,0.0,13122,0.0,881,0.7341666666666666,0,0.0
1500,32,1462,-468,0.312,10.501837388321558,221,221,0,1.0,458430921,219024,0.00047776881961241006,0,0.0,20943,0.0,1157,0.7713333333333333,0,0.0
2000,33,1956,-354,0.177,11.241217985192874,286,286,0,1.0,1380791281,125316,9.075665650875442e-05,0,0.0,36805,0.0,1632,0.816,0.7063235587472572,0.0
2500,33,2450,-146,0.0584,11.844242990179817,352,352,0,1.0,3204692100,21316,6.651497034613715e-06,0,0.0,56464,0.0,2143,0.8572,0,0.0
3000,34,2946,-1393,0.4643333333333333,12.619245652012282,413,413,0,1.0,6436852900,1940449,0.000301459273677048,0,0.0,78837,0.0,2558,0.8526666666666667,0,0.0
4000,35,3937,-38,0.0095,13.204912860305136,535,535,0,1.0,18347244304,1444,7.870391738802891e-08,0,0.0,135414,0.0,3557,0.88925,0,0.0
5000,37,4930,-490,0.098,13.892876176756879,645,643,2,0.9968992248062015,40396176144,240100,5.943631871098814e-06,29,0.0058,200527,0.00014461892912176415,4749,0.9498,0.6976336071208886,0.00012186416491343959
6000,37,5923,1629,0.2715,14.155275880655468,766,713,53,0.9308093994778068,78512600401,2653641,3.379891872701495e-05,1786,0.2976666666666667,280472,0.006367837074645597,5732,0.9553333333333334,0,0.0006731541097396346
7000,38,6917,-2058,0.294,15.141028601144074,878,871,7,0.9920273348519362,139624037569,4235364,3.0334060479428192e-05,140,0.02,371745,0.00037660224078333264,7092,1.0131428571428571,0,0.00031815904163631683
8000,42,7911,-1088,0.136,16.745990063568716,986,985,1,0.9989858012170385,220403958784,1183744,5.3707928230095505e-06,9,0.001125,468393,1.92146338651517e-05,7975,0.996875,0,1.6543959909422864e-05
9000,42,8906,576,0.064,17.120996026918633,1095,1062,32,0.9698630136986301,340483920100,331776,9.744248712319734e-07,771,0.08566666666666667,583727,0.0013208229189329943,9198,1.022,0,0.00030381265833505014
10000,43,9900,-13,0.0013,16.83839098880271,1206,1199,7,0.9941956882255389,486389077056,169,3.47458460668808e-10,106,0.0106,697509,0.00015196936526983883,10753,1.0753,0.7020777664512442,0.00013235449459570193
