sector,N,block_index,cofactor_block,block_endpoint_value,block_norm2,block_norm2_over_N3,inner_prime_block,inner_prime_block_over_N3,corr_prime_block,minus_2_inner_prime_over_block_norm2,inner_cumulative_before_block,inner_cumulative_before_over_N3,minus_2_inner_before_over_block_norm2,cascade_energy_delta,cascade_energy_delta_over_N3,cascade_energy_after,cascade_energy_after_over_N3
all,4096,0,c=1,-1078362,1006914679915165,14652.537064323624,1006914679915165,14652.537064323624,1.0,-2.0,-1542890215,-0.022452007615356706,3.0645897726508313e-06,1006911594134735,14652.492160308393,1006911594138831,14652.492160367998
all,4096,1,1<c<=2,564425,276591147358442,4024.930929276772,-527733939359740,-7679.539548695029,-0.9999989661574165,3.815985756592818,-527733129926000,-7679.527769883862,3.8159799036669546,-778875112493558,-11334.124610490951,228036481645273,3318.3675498770463
all,4096,2,2<c<=4,386880,130171266636105,1894.2412372577382,-362036804277355,-5268.328885392912,-0.9999972853388595,5.56246879412232,-172288546152145,-2507.128318424584,2.647105626371129,-214405825668185,-3120.0153995914297,13630655977088,198.35215028561652
all,4096,3,4<c<=8,213636,39793097495972,579.0657814355218,-200169112892571,-2912.8439621500875,-0.9999927589321554,10.060494180571535,-23286055280715,-338.85670244802895,1.1703565063298778,-6779013065458,-98.64762346053612,6851642911630,99.70452682508039
all,4096,4,8<c<=16,-91200,7288741296255,106.06514546459948,85667006237395,1246.6190126345464,0.9999792445190098,-23.506666722115995,-7065089240019,-102.81057970160327,1.9386308150761467,-6841437183783,-99.55601393860707,10205727847,0.14851288647332694
all,4096,5,16<c<=32,167035,24504220160230,356.58333450890495,-157073836733681,-2285.725156742861,-0.9999702347586588,12.820145730539068,-409690050542,-5.961774885392515,0.03343832595880126,23684840059146,344.6597847381199,23695045786993,344.80829762459325
all,4096,6,32<c<=64,-110661,10792106178658,157.04581424736534,104238557181206,1516.8706476281804,0.9999515327615731,-19.317555897910573,-15990445175167,-232.69160265287792,2.96335949822084,-21188784171676,-308.3373910583905,2506261615317,36.47090656620276
all,4096,7,64<c<=128,24183,512627312354,7.459709193120943,-22718898336815,-330.60348267921654,-0.9999771154111078,88.63709673403525,1132731854932,16.483417929441202,-4.419319172560125,2778091022218,40.42654505200335,5284352637535,76.8974516182061
all,4096,8,128<c<=256,-8748,73565247734,1.0705152487789746,8580544776914,124.86336020685849,0.9969701945258059,-233.2771258499627,-622512379130,-9.058747369708726,16.92408843319345,-1171459510526,-17.046979490638478,4112893127009,59.85047212756763
all,4096,9,256<c<=512,13977,153191415453,2.2292284913855838,-12303545287935,-179.04014803840255,-0.9906419651550775,160.62969653426563,784336189955,11.4135937467654,-10.239949642552116,1721863795363,25.056415984916384,5834756922372,84.90688811248401
all,4096,10,512<c<=1024,-9987,174477685256,2.538984485086985,12277636961897,178.66313227418868,0.9262932638760117,-140.73589919401792,-933577450417,-13.585339917583042,10.701396560221683,-1692677215578,-24.6316953500791,4142079706794,60.27519276240491
all,4096,11,1024<c<=2048,-27919,1335442613991,19.43324771114567,34973565796524,508.93236470472766,0.9537421192089678,-52.37748957554188,-2199164068884,-32.00204910367029,3.293535859712832,-3062885523777,-44.57085049619491,1079194183017,15.704342266210006
all,4096,12,2048<c<=4096,-39627,1975695298875,28.75015050631191,43106159952749,627.2771854528255,0.9664580695693507,-43.636445333746046,-1377570924025,-20.046295307474793,1.394517590652178,-779446549175,-11.342440108637675,299747633842,4.361902157572331
all,4096,13,4096<c<=8192,-42959,547734899112,7.970591819495894,17517139628377,254.90793091560772,0.7459017892876644,-63.96210888433867,79620649512,1.1586329421261325,-0.29072695437549356,706976198136,10.287857703748159,1006723831978,14.64975986132049
all,4096,14,8192<c<=16384,23995,479519591226,6.977928441861877,-21866093783500,-318.1935431130114,-0.9951113792797759,91.20000176674492,-689771982773,-10.037503420215216,2.8769293075573508,-900024374320,-13.097078398568556,106699457658,1.5526814627519343
all,4096,15,16384<c<=32768,13005,106692074897,1.552574029439711,-9869239099132,-143.6163307390525,-0.9521848205043388,185.004164717196,-104931545067,-1.52695494859654,1.9669979268525877,-103171015237,-1.5013358677533688,3528442421,0.0513455949985655
all,4096,16,32768<c<=65536,6948,14003539456,0.20377831906080246,-2179407632117,-31.714555110622314,-0.5803944107239166,311.26525389739294,-3865092492,-0.056244498293381184,0.5520165104178645,6273354472,0.09128932247404009,9801796893,0.1426349174726056
all,4096,17,65536<c<=131072,-3914,8049123697,0.1171301657013828,2579612638279,37.53830443425977,0.906116124775834,-640.9673239934059,-8526361539,-0.12407489032193553,2.118581316417804,-9003599381,-0.13101961494248826,798197512,0.011615302530117333
all,4096,18,131072<c<=262144,-502,41667039,0.0006063352193450555,7818342103,0.11377185150922742,0.038169987161628734,-375.2770674681251,-90413769,-0.0013156935019651428,4.339822131349434,-139160499,-0.00202505178458523,659037013,0.009590250745532103
all,4096,19,262144<c<=524288,126,2451918,3.5680102882906795e-05,-28923011278,-0.4208852082665544,-0.58209544345935,23592.152166589585,12160686,0.00017696127179078758,-9.919325197661585,26773290,0.00038960264646448195,685810303,0.009979853391996585
all,4096,20,524288<c<=1048576,-3,1140,1.658918336033821e-08,154125657,0.002242823495180346,0.14385540331935048,-270395.8894736842,-194074,-2.8241483960300684e-06,340.48070175438596,-387008,-5.631707608699799e-06,685423295,0.009974221684387885
