sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
all,4096,0,c=1,0,c=1,1006914679915165,14652.537064323624,1.0
all,4096,0,c=1,1,1<c<=2,-527733939359740,-7679.539548695029,-0.9999989661574165
all,4096,0,c=1,2,2<c<=4,-362036804277355,-5268.328885392912,-0.9999972853388595
all,4096,0,c=1,3,4<c<=8,-200169112892571,-2912.8439621500875,-0.9999927589321552
all,4096,0,c=1,4,8<c<=16,85667006237395,1246.6190126345464,0.9999792445190097
all,4096,0,c=1,5,16<c<=32,-157073836733681,-2285.725156742861,-0.999970234758659
all,4096,0,c=1,6,32<c<=64,104238557181206,1516.8706476281804,0.9999515327615731
all,4096,0,c=1,7,64<c<=128,-22718898336815,-330.60348267921654,-0.9999771154111078
all,4096,0,c=1,8,128<c<=256,8580544776914,124.86336020685849,0.9969701945258059
all,4096,0,c=1,9,256<c<=512,-12303545287935,-179.04014803840255,-0.9906419651550775
all,4096,0,c=1,10,512<c<=1024,12277636961897,178.66313227418868,0.9262932638760117
all,4096,0,c=1,11,1024<c<=2048,34973565796524,508.93236470472766,0.9537421192089678
all,4096,0,c=1,12,2048<c<=4096,43106159952749,627.2771854528255,0.9664580695693507
all,4096,0,c=1,13,4096<c<=8192,17517139628377,254.90793091560772,0.7459017892876644
all,4096,0,c=1,14,8192<c<=16384,-21866093783500,-318.1935431130114,-0.9951113792797759
all,4096,0,c=1,15,16384<c<=32768,-9869239099132,-143.6163307390525,-0.9521848205043388
all,4096,0,c=1,16,32768<c<=65536,-2179407632117,-31.714555110622314,-0.5803944107239165
all,4096,0,c=1,17,65536<c<=131072,2579612638279,37.53830443425977,0.9061161247758338
all,4096,0,c=1,18,131072<c<=262144,7818342103,0.11377185150922742,0.038169987161628734
all,4096,0,c=1,19,262144<c<=524288,-28923011278,-0.4208852082665544,-0.58209544345935
all,4096,0,c=1,20,524288<c<=1048576,154125657,0.002242823495180346,0.14385540331935048
all,4096,1,1<c<=2,0,c=1,-527733939359740,-7679.539548695029,-0.9999989661574165
all,4096,1,1<c<=2,1,1<c<=2,276591147358442,4024.930929276772,1.0
all,4096,1,1<c<=2,2,2<c<=4,189747702496633,2761.1924815083767,0.9999995918639923
all,4096,1,1<c<=2,3,4<c<=8,104911183864385,1526.6586541021388,0.9999971837515638
all,4096,1,1<c<=2,4,8<c<=16,-44899335926461,-653.3713302118267,-0.9999873631990426
all,4096,1,1<c<=2,5,16<c<=32,82324862461613,1197.9844197283528,0.9999802739488528
all,4096,1,1<c<=2,6,32<c<=64,-54633225393741,-795.0180645819783,-0.9999645364946604
all,4096,1,1<c<=2,7,64<c<=128,11907266789597,173.27353692376346,0.9999817539799178
all,4096,1,1<c<=2,8,128<c<=256,-4497589913639,-65.44854715523252,-0.9970670524663867
all,4096,1,1<c<=2,9,256<c<=512,6447340593849,93.82115377009904,0.9904766937269616
all,4096,1,1<c<=2,10,512<c<=1024,-6438325047360,-93.68996030185372,-0.9267952844516368
all,4096,1,1<c<=2,11,1024<c<=2048,-18337435888839,-266.8448125599971,-0.9541284710304874
all,4096,1,1<c<=2,12,2048<c<=4096,-22587125043874,-328.68592889097636,-0.9662329310705854
all,4096,1,1<c<=2,13,4096<c<=8192,-9170675297830,-133.4508895209001,-0.7450698204963222
all,4096,1,1<c<=2,14,8192<c<=16384,11458795094533,166.74741483487014,0.9949852389617082
all,4096,1,1<c<=2,15,16384<c<=32768,5170278621502,75.23745620713453,0.9517628059195518
all,4096,1,1<c<=2,16,32768<c<=65536,1140456251954,16.595822700095596,0.5794828437610824
all,4096,1,1<c<=2,17,65536<c<=131072,-1351170519201,-19.662118854481378,-0.9055589395006417
all,4096,1,1<c<=2,18,131072<c<=262144,-4033538424,-0.05869570921640843,-0.03757255604592363
all,4096,1,1<c<=2,19,262144<c<=524288,15140994016,0.22033046139404178,0.5814097078322619
all,4096,1,1<c<=2,20,524288<c<=1048576,-80625270,-0.001173252094304189,-0.14358187435346412
all,4096,2,2<c<=4,0,c=1,-362036804277355,-5268.328885392912,-0.9999972853388595
all,4096,2,2<c<=4,1,1<c<=2,189747702496633,2761.1924815083767,0.9999995918639923
all,4096,2,2<c<=4,2,2<c<=4,130171266636105,1894.2412372577382,1.0
all,4096,2,2<c<=4,3,4<c<=8,71971566235235,1047.3241307079297,0.9999988843376927
all,4096,2,2<c<=4,4,8<c<=16,-30802084301225,-448.2293196084356,-0.9999914156042075
all,4096,2,2<c<=4,5,16<c<=32,56477010433164,821.8486681749928,0.9999854738573869
all,4096,2,2<c<=4,6,32<c<=64,-37479893681291,-545.404235618349,-0.999971632808499
all,4096,2,2<c<=4,7,64<c<=128,8168667693895,118.86975981025898,0.9999834054536082
all,4096,2,2<c<=4,8,128<c<=256,-3085634740537,-44.90189516999817,-0.9971272825572394
all,4096,2,2<c<=4,9,256<c<=512,4422553496681,64.35662357661931,0.9903719127071751
all,4096,2,2<c<=4,10,512<c<=1024,-4418332238781,-64.29519618950144,-0.927109132012235
all,4096,2,2<c<=4,11,1024<c<=2048,-12583058370037,-183.1075987143704,-0.954368355089188
all,4096,2,2<c<=4,12,2048<c<=4096,-15492957354157,-225.45220205439546,-0.9660881983104873
all,4096,2,2<c<=4,13,4096<c<=8192,-6286950862491,-91.4871759958769,-0.7445558737541499
all,4096,2,2<c<=4,14,8192<c<=16384,7860355425220,114.38322581263492,0.994904605112503
all,4096,2,2<c<=4,15,16384<c<=32768,3545940428788,51.60022452456178,0.9514978017573443
all,4096,2,2<c<=4,16,32768<c<=65536,781620385926,11.374073596758535,0.5789211323142648
all,4096,2,2<c<=4,17,65536<c<=131072,-926578132273,-13.483486433295184,-0.9052117449973978
all,4096,2,2<c<=4,18,131072<c<=262144,-2741151259,-0.03988900074909907,-0.0372202354400593
