sector,N,i,block_i,j,block_j,inner_product,inner_product_over_N3,correlation
high_lambda_16,4096,0,c=1,0,c=1,1006902336858977,14652.357449216317,1.0
high_lambda_16,4096,0,c=1,1,1<c<=2,-527724530129450,-7679.402626373485,-0.9999989715571195
high_lambda_16,4096,0,c=1,2,2<c<=4,-362028410267738,-5268.206736476539,-0.9999973025502523
high_lambda_16,4096,0,c=1,3,4<c<=8,-200163254222357,-2912.7587072777824,-0.9999928024956835
high_lambda_16,4096,0,c=1,4,8<c<=16,85649507254753,1246.3643689225573,0.9999800657680215
high_lambda_16,4096,0,c=1,5,16<c<=32,-157066697502167,-2285.6212672510737,-0.9999704051051237
high_lambda_16,4096,0,c=1,6,32<c<=64,104154598999943,1515.6488952917134,0.9999566699241467
high_lambda_16,4096,0,c=1,7,64<c<=128,-22786643734746,-331.58930796702043,-0.9999731170852485
high_lambda_16,4096,0,c=1,8,128<c<=256,8464793044566,123.17895081019378,0.9976793796331033
high_lambda_16,4096,0,c=1,9,256<c<=512,-12462173216313,-181.34848820501065,-0.9920769148866981
high_lambda_16,4096,0,c=1,10,512<c<=1024,12017468576762,174.87718398860306,0.9278799758699272
high_lambda_16,4096,0,c=1,11,1024<c<=2048,34584080110993,503.2646020262182,0.9538927789420016
high_lambda_16,4096,0,c=1,12,2048<c<=4096,42865791512612,623.7793642883771,0.966385963192694
high_lambda_16,4096,0,c=1,13,4096<c<=8192,17517069883122,254.90691598856938,0.7459036833502157
high_lambda_16,4096,0,c=1,14,8192<c<=16384,-21865969187140,-318.1917299973429,-0.9951118081875833
high_lambda_16,4096,0,c=1,15,16384<c<=32768,-9869190139136,-143.61561827734113,-0.9521859329462321
high_lambda_16,4096,0,c=1,16,32768<c<=65536,-2179401140309,-31.71446064238262,-0.5803962392461308
high_lambda_16,4096,0,c=1,17,65536<c<=131072,2579600501643,37.53812782296154,0.9061174153983973
high_lambda_16,4096,0,c=1,18,131072<c<=262144,7818489307,0.1137739936093567,0.038170939783409595
high_lambda_16,4096,0,c=1,19,262144<c<=524288,-28922900110,-0.4208835905592423,-0.5820967738947193
high_lambda_16,4096,0,c=1,20,524288<c<=1048576,154125193,0.00224281674309168,0.14385585195462916
high_lambda_16,4096,1,1<c<=2,0,c=1,-527724530129450,-7679.402626373485,-0.9999989715571195
high_lambda_16,4096,1,1<c<=2,1,1<c<=2,276584671954032,4024.8366997407284,1.0
high_lambda_16,4096,1,1<c<=2,2,2<c<=4,189742242312872,2761.1130253771553,0.9999995951101388
high_lambda_16,4096,1,1<c<=2,3,4<c<=8,104907525563432,1526.605418816791,0.9999972019667791
high_lambda_16,4096,1,1<c<=2,4,8<c<=16,-44889904963690,-653.2340916410612,-0.9999879805947274
high_lambda_16,4096,1,1<c<=2,5,16<c<=32,82320657047022,1197.9232228917244,0.9999803889828066
high_lambda_16,4096,1,1<c<=2,6,32<c<=64,-54588873733821,-794.372662986585,-0.9999688804883339
high_lambda_16,4096,1,1<c<=2,7,64<c<=128,11942740907212,173.78975327609805,0.9999806430442086
high_lambda_16,4096,1,1<c<=2,8,128<c<=256,-4436838358769,-64.5644956787728,-0.997764111667164
high_lambda_16,4096,1,1<c<=2,9,256<c<=512,6530525024813,95.03164655780711,0.9919260110612519
high_lambda_16,4096,1,1<c<=2,10,512<c<=1024,-6301806724863,-91.70335724575853,-0.9283751495603809
high_lambda_16,4096,1,1<c<=2,11,1024<c<=2048,-18133092005025,-263.8712176853005,-0.9542777941171918
high_lambda_16,4096,1,1<c<=2,12,2048<c<=4096,-22461094034147,-326.8519363212836,-0.9661627559969242
high_lambda_16,4096,1,1<c<=2,13,4096<c<=8192,-9170608120853,-133.4499119672255,-0.7450733762053979
high_lambda_16,4096,1,1<c<=2,14,8192<c<=16384,11458670498173,166.74560171920166,0.9949860671730977
high_lambda_16,4096,1,1<c<=2,15,16384<c<=32768,5170229661506,75.23674374542315,0.9517649343655176
high_lambda_16,4096,1,1<c<=2,16,32768<c<=65536,1140449760146,16.5957282318559,0.5794863285286594
high_lambda_16,4096,1,1<c<=2,17,65536<c<=131072,-1351158382565,-19.661942243183148,-0.9055614058095043
high_lambda_16,4096,1,1<c<=2,18,131072<c<=262144,-4033685628,-0.05869785131653771,-0.037574367094592845
high_lambda_16,4096,1,1<c<=2,19,262144<c<=524288,15140882848,0.22032884368672967,0.5814122449103379
high_lambda_16,4096,1,1<c<=2,20,524288<c<=1048576,-80624806,-0.0011732453422155231,-0.14358272878794665
high_lambda_16,4096,2,2<c<=4,0,c=1,-362028410267738,-5268.206736476539,-0.9999973025502523
high_lambda_16,4096,2,2<c<=4,1,1<c<=2,189742242312872,2761.1130253771553,0.9999995951101388
high_lambda_16,4096,2,2<c<=4,2,2<c<=4,130166821672979,1894.1765545311355,1.0
high_lambda_16,4096,2,2<c<=4,3,4<c<=8,71968669349696,1047.28197547514,0.9999988903312697
high_lambda_16,4096,2,2<c<=4,4,8<c<=16,-30795445194663,-448.1327078925533,-0.9999919057731477
high_lambda_16,4096,2,2<c<=4,5,16<c<=32,56473820235806,821.8022446934774,0.9999855530532753
high_lambda_16,4096,2,2<c<=4,6,32<c<=64,-37449247451974,-544.958274287259,-0.9999754762721245
high_lambda_16,4096,2,2<c<=4,7,64<c<=128,8192974674883,119.22347293705388,0.9999841098949481
high_lambda_16,4096,2,2<c<=4,8,128<c<=256,-3043915354827,-44.29479820576671,-0.997816651438938
high_lambda_16,4096,2,2<c<=4,9,256<c<=512,4479632051101,65.18722586189688,0.9918304284663545
high_lambda_16,4096,2,2<c<=4,10,512<c<=1024,-4324598044381,-62.93118413859338,-0.928684247348814
high_lambda_16,4096,2,2<c<=4,11,1024<c<=2048,-12442757335688,-181.06594995607156,-0.9545166054189236
high_lambda_16,4096,2,2<c<=4,12,2048<c<=4096,-15406450534783,-224.19336215218937,-0.9660194791947028
high_lambda_16,4096,2,2<c<=4,13,4096<c<=8192,-6286884572750,-91.48621135318535,-0.7445610271333338
high_lambda_16,4096,2,2<c<=4,14,8192<c<=16384,7860230828860,114.38141269696644,0.9949058213316215
high_lambda_16,4096,2,2<c<=4,15,16384<c<=32768,3545891468792,51.59951206285041,0.9515009097134522
high_lambda_16,4096,2,2<c<=4,16,32768<c<=65536,781613894118,11.37397912851884,0.5789262084323079
high_lambda_16,4096,2,2<c<=4,17,65536<c<=131072,-926565995637,-13.483309821996954,-0.9052153435687068
high_lambda_16,4096,2,2<c<=4,18,131072<c<=262144,-2741298463,-0.039891142849228345,-0.03722286975421489
high_lambda_16,4096,2,2<c<=4,19,262144<c<=524288,10379492663,0.1510414973454317,0.580995816142842
high_lambda_16,4096,2,2<c<=4,20,524288<c<=1048576,-55262453,-0.0008041745313676074,-0.14345892843455738
high_lambda_16,4096,3,4<c<=8,0,c=1,-200163254222357,-2912.7587072777824,-0.9999928024956835
high_lambda_16,4096,3,4<c<=8,1,1<c<=2,104907525563432,1526.605418816791,0.9999972019667791
high_lambda_16,4096,3,4<c<=8,2,2<c<=4,71968669349696,1047.28197547514,0.9999988903312697
high_lambda_16,4096,3,4<c<=8,3,4<c<=8,39791252459343,579.0389326189033,1.0
high_lambda_16,4096,3,4<c<=8,4,8<c<=16,-17026765377271,-247.77204638333933,-0.999996535264703
high_lambda_16,4096,3,4<c<=8,5,16<c<=32,31224375532504,454.3744658076903,0.9999923231009913
